id,dia,horaInicio,duracao,idTurma,idSala,comment
2024011323,TER,10,2,20240113,3,
2024011324,QUI,10,2,20240113,3,
2024011425,SEG,10,2,20240114,6,
2024011426,QUA,10,2,20240114,6,
2024011527,TER,8,2,20240115,3,
2024011528,QUI,8,2,20240115,3,
2024011629,SEG,10,2,20240116,,
2024011630,QUA,10,2,20240116,,
2024011731,TER,10,2,20240117,,
2024011732,QUI,10,2,20240117,,
2024011833,SEG,16,2,20240118,6,
2024011834,QUA,16,2,20240118,6,
2024011935,TER,14,2,20240119,6,
2024011936,QUI,14,2,20240119,6,
2024012037,SEX,10,2,20240120,,
2024012138,TER,10,2,20240121,2,
2024012139,QUI,10,2,20240121,2,
2024012240,SEG,14,2,20240122,2,
2024012241,QUA,14,2,20240122,2,
2024012342,TER,16,2,20240123,,
2024012343,QUI,16,2,20240123,,
2024012444,SEG,16,2,20240124,2,
2024012445,QUA,16,2,20240124,2,
2024012546,SEG,10,2,20240125,2,
2024012547,QUA,10,2,20240125,2,
2024012648,TER,14,2,20240126,2,
2024012649,QUI,14,2,20240126,2,
2024012750,SEX,10,2,20240127,3,
2024012851,SEX,14,2,20240128,2,
2024012952,SEX,16,2,20240129,2,
2028010101,SEG,8,2,20280101,,Conflitos: alocação múltipla de professores - Prof 1
2028010102,SEG,8,2,20280101,,Conflitos: alocação múltipla de professores - Prof 1
2028010203,SEG,8,2,20280102,,Conflitos: alocação múltipla de professores - Prof 1
2028010204,SEG,8,2,20280102,,Conflitos: alocação múltipla de professores - Prof 1
2028010305,SEG,8,2,20280103,,Conflitos: alocação múltipla de professores - Prof 2
2028010306,QUA,8,2,20280103,,Conflitos: alocação múltipla de professores - Prof 2
2028010407,QUA,8,2,20280104,,Conflitos: alocação múltipla de professores - Prof 2
2028010408,SEX,8,2,20280104,,Conflitos: alocação múltipla de professores - Prof 2
2028010509,SEG,8,2,20280105,,Conflitos: alocação múltipla de professores - Prof 3
2028010510,SEG,10,2,20280105,,Conflitos: alocação múltipla de professores - Prof 3
2028010611,SEG,14,2,20280106,,Conflitos: alocação múltipla de professores - Prof 3
2028010612,SEG,16,2,20280106,,Conflitos: alocação múltipla de professores - Prof 3
2028010713,SEG,8,2,20280107,,Conflitos: alocação múltipla de professores - Prof 4
2028010714,TER,8,2,20280107,,Conflitos: alocação múltipla de professores - Prof 4
2028010815,QUA,8,2,20280108,,Conflitos: alocação múltipla de professores - Prof 4
2028010816,QUI,8,2,20280108,,Conflitos: alocação múltipla de professores - Prof 4
2028020101,,,,20280201,1,"(D, C): (null, 20)"
2028020102,,,,20280201,5,"(D, C): (null, 24)"
2028020103,,,,20280201,6,"(D, C): (null, 30)"
2028020104,,,,20280201,7,"(D, C): (null, 35)"
2028020105,,,,20280201,25,"(D, C): (null, 40)"
2028020106,,,,20280201,26,"(D, C): (null, 65)"
2028020107,,,,20280201,27,"(D, C): (null, null)"
2028020108,,,,20280201,,"(D, C): (null, undef)"
2028020201,,,,20280202,1,"(D, C): (19, 20)"
2028020202,,,,20280202,5,"(D, C): (19, 24)"
2028020203,,,,20280202,6,"(D, C): (19, 30)"
2028020204,,,,20280202,7,"(D, C): (19, 35)"
2028020205,,,,20280202,25,"(D, C): (19, 40)"
2028020206,,,,20280202,26,"(D, C): (19, 65)"
2028020207,,,,20280202,27,"(D, C): (19, null)"
2028020208,,,,20280202,,"(D, C): (19, undef)"
2028020301,,,,20280203,1,"(D, C): (21, 20)"
2028020302,,,,20280203,5,"(D, C): (21, 24)"
2028020303,,,,20280203,6,"(D, C): (21, 30)"
2028020304,,,,20280203,7,"(D, C): (21, 35)"
2028020305,,,,20280203,25,"(D, C): (21, 40)"
2028020306,,,,20280203,26,"(D, C): (21, 65)"
2028020307,,,,20280203,27,"(D, C): (21, null)"
2028020308,,,,20280203,,"(D, C): (21, undef)"
2028020401,,,,20280204,1,"(D, C): (29, 20)"
2028020402,,,,20280204,5,"(D, C): (29, 24)"
2028020403,,,,20280204,6,"(D, C): (29, 30)"
2028020404,,,,20280204,7,"(D, C): (29, 35)"
2028020405,,,,20280204,25,"(D, C): (29, 40)"
2028020406,,,,20280204,26,"(D, C): (29, 65)"
2028020407,,,,20280204,27,"(D, C): (29, null)"
2028020408,,,,20280204,,"(D, C): (29, undef)"
2028020501,,,,20280205,1,"(D, C): (31, 20)"
2028020502,,,,20280205,5,"(D, C): (31, 24)"
2028020503,,,,20280205,6,"(D, C): (31, 30)"
2028020504,,,,20280205,7,"(D, C): (31, 35)"
2028020505,,,,20280205,25,"(D, C): (31, 40)"
2028020506,,,,20280205,26,"(D, C): (31, 65)"
2028020507,,,,20280205,27,"(D, C): (31, null)"
2028020508,,,,20280205,,"(D, C): (31, undef)"
2028020601,,,,20280206,1,"(D, C): (39, 20)"
2028020602,,,,20280206,5,"(D, C): (39, 24)"
2028020603,,,,20280206,6,"(D, C): (39, 30)"
2028020604,,,,20280206,7,"(D, C): (39, 35)"
2028020605,,,,20280206,25,"(D, C): (39, 40)"
2028020606,,,,20280206,26,"(D, C): (39, 65)"
2028020607,,,,20280206,27,"(D, C): (39, null)"
2028020608,,,,20280206,,"(D, C): (39, undef)"
2028020701,,,,20280207,1,"(D, C): (41, 20)"
2028020702,,,,20280207,5,"(D, C): (41, 24)"
2028020703,,,,20280207,6,"(D, C): (41, 30)"
2028020704,,,,20280207,7,"(D, C): (41, 35)"
2028020705,,,,20280207,25,"(D, C): (41, 40)"
2028020706,,,,20280207,26,"(D, C): (41, 65)"
2028020707,,,,20280207,27,"(D, C): (41, null)"
2028020708,,,,20280207,,"(D, C): (41, undef)"
2028020801,,,,20280208,1,"(D, C): (66, 20)"
2028020802,,,,20280208,5,"(D, C): (66, 24)"
2028020803,,,,20280208,6,"(D, C): (66, 30)"
2028020804,,,,20280208,7,"(D, C): (66, 35)"
2028020805,,,,20280208,25,"(D, C): (66, 40)"
2028020806,,,,20280208,26,"(D, C): (66, 65)"
2028020807,,,,20280208,27,"(D, C): (66, null)"
2028020808,,,,20280208,,"(D, C): (66, undef)"
